Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PZG,Paramount Gold Nevada Corp. Common Stock,$0.70,0.00,0.00%,28367606.00,United States,2015,53558,Basic Industries,Precious Metals
RCG,RENN Fund Inc Common Stock,$2.4839,-0.0461,-1.822%,14784064.00,United States,,10543,Finance,Investment Managers
RCOR,Renovacor Inc. Common Stock,$7.80,0.05,0.645%,134597128.00,,2020,2156,Health Care,Biotechnology: Pharmaceutical Preparations
REI,Ring Energy Inc. Common Stock,$2.75,-0.05,-1.786%,274010446.00,United States,,1809693,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.43,2.14,8.462%,534065008.00,United States,,35598,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$3.64,-0.20,-5.208%,6459562.00,,2017,22460,Health Care,Hospital/Nursing Management
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$4.4999,-0.0001,-0.002%,,,,100,,
RLGT,Radiant Logistics Inc. Common Stock,$6.88,-0.04,-0.578%,342110511.00,United States,,47205,Transportation,Oil Refining/Marketing
RMED,Ra Medical Systems Inc. Common Stock,$1.41,-0.06,-4.082%,9911969.00,,2018,78899,Health Care,Medical/Dental Instruments
RVP,Retractable Technologies Inc. Common Stock,$6.30,-0.21,-3.226%,212714983.00,United States,,169784,Health Care,Medical/Dental Instruments
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$25.2791,-0.0459,-0.181%,0.00,United States,2019,4571,Consumer Services,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$6.31,-0.05,-0.786%,200001640.00,United States,2017,419610,Consumer Services,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$25.35,-0.07,-0.275%,,United States,,4920,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$1.91,0.11,6.111%,62301784.00,,2021,3542134,Consumer Non-Durables,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$25.34,0.00,0.00%,0.00,United States,2019,800,Consumer Services,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.6326,0.0226,0.088%,0.00,United States,2020,2672,Consumer Services,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$25.25,0.09,0.358%,0.00,United States,,16557,Consumer Services,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$0.833,-0.016,-1.885%,23464849.00,,2014,74216,Energy,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$4019.99,10.00,0.249%,4666319972.00,United States,1996,657,,
SENS,Senseonics Holdings Inc. Common Stock,$2.78,-0.10,-3.472%,1239831825.00,United States,,6782202,Health Care,Medical Specialities
SIF,SIFCO Industries Inc. Common Stock,$6.89,0.2566,3.868%,41456923.00,United States,,3229,Capital Goods,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$7.76,-0.17,-2.144%,1126352857.00,,2018,364711,Capital Goods,Industrial Machinery/Components
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$26.45,-0.54,-2.001%,4080172345.00,Mexico,1993,7516,Basic Industries,Aluminum
SLI,Standard Lithium Ltd. Common Shares,$7.20,-0.78,-9.774%,1158584522.00,,2021,2894277,,
SMTS,Sierra Metals Inc. Common Stock,$1.29,0.00,0.00%,210786000.00,,,227264,,
SNMP,Evolve Transition Infrastructure LP Common Stock,$0.4519,-0.0681,-13.096%,51591262.00,United States,,1430219,Energy,Oil & Gas Production
SSY,SunLink Health Systems Inc. Common Stock,$1.47,-0.015,-1.01%,10222602.00,United States,,27402,Health Care,Medical/Nursing Services
STXS,Stereotaxis Inc. Common Stock,$5.64,-0.17,-2.926%,420637054.00,United States,,111262,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.63,-0.05,-1.359%,640857773.00,,,774678,,
SVT,Servotronics Inc. Common Stock,$14.26,0.26,1.857%,35531171.00,United States,,10348,Consumer Durables,Metal Fabrications
SYN,Synthetic Biologics Inc. Common Stock,$0.26,-0.0184,-6.609%,34331060.00,United States,,1693614,Health Care,Biotechnology: Pharmaceutical Preparations
TELL,Tellurian Inc. Common Stock,$3.08,-0.30,-8.876%,1475335591.00,United States,,13765126,Energy,Oil & Gas Production
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$24.71,-0.29,-1.16%,0.00,United States,,15384,,
TGB,Taseko Mines Ltd. Common Stock,$2.05,-0.13,-5.963%,582110192.00,Canada,,3107840,,
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.84,-0.06,-6.667%,163722875.00,Canada,,55093,,
TKAT,Takung Art Co. Ltd. Common Stock,$3.80,0.30,8.571%,53037941.00,,,27114037,Consumer Services,Catalog/Specialty Distribution
TMBR,Timber Pharmaceuticals Inc. Common Stock,$0.3613,-0.0141,-3.756%,23049556.00,United States,2015,597413,Consumer Durables,Specialty Chemicals
TMP,Tompkins Financial Corporation Common Stock,$84.72,0.79,0.941%,1241927000.00,United States,,13086,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.60,-0.03,-1.84%,231122376.00,Canada,,199341,,
TPHS,Trinity Place Holdings Inc. Common Stock,$1.85,0.10,5.714%,67001624.00,,,8414,Consumer Services,Real Estate
TRT,Trio-Tech International Common Stock,$8.95,0.05,0.562%,35354111.00,United States,,214402,Technology,Industrial Machinery/Components
TRX,Tanzanian Gold Corporation Common Stock,$0.42,-0.002,-0.474%,107045634.00,Canada,,364571,,
UAMY,United States Antimony Corporation Common Stock,$0.4911,-0.0254,-4.918%,52114473.00,United States,,1044116,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.40,-0.04,-2.778%,105437776.00,United States,,1440478,,
UEC,Uranium Energy Corp. Common Stock,$3.28,-0.33,-9.141%,876591821.00,Canada,,9608298,Basic Industries,Other Metals and Minerals
UFAB,Unique Fabricating Inc. Common Stock,$2.0297,0.0297,1.485%,23814768.00,United States,2015,26021,Capital Goods,Auto Parts:O.E.M.
URG,Ur Energy Inc Common Shares (Canada),$1.30,-0.06,-4.412%,280817583.00,Canada,,1927850,,
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.8035,-0.0145,-1.773%,132085002.00,,2017,525298,,
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$34.30,0.09,0.263%,2236742925.00,United States,2004,232420,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$2.94,-0.17,-5.466%,6799888.00,United States,,30495,Miscellaneous,Diversified Manufacture
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$7.21,-0.80,-9.988%,1126650455.00,,,3823483,,
VCF,Delaware Investments Colorado Municipal Income Fund Inc  Common Stock,$14.21,-0.05,-0.351%,68735191.00,United States,1993,3597,Finance,Finance/Investors Services
VFL,Delaware Investments National Municipal Income Fund Common Stock,$13.64,-0.07,-0.511%,61767963.00,United States,1993,9112,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.74,-0.0214,-2.811%,86720032.00,United States,,142527,,
VHAQ,Viveon Health Acquisition Corp. Common Stock,$10.04,-0.01,-0.10%,252568750.00,,2021,65823,,
VINE,Fresh Vine Wine Inc. Common Stock,$5.55,-1.43,-20.487%,67710072.00,,2021,1045581,Consumer Non-Durables,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$11.78,-0.08,-0.675%,522932471.00,United States,,101418,Finance,Finance Companies
VMM,Delaware Investments Minnesota Municipal Income Fund II Inc. Common Stock,$14.05,-0.03,-0.213%,161644899.00,United States,1993,6486,Finance,Finance/Investors Services
VNRX,VolitionRX Limited Common Stock,$3.04,-0.03,-0.977%,162749929.00,Singapore,2015,57404,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VOLT,Volt Information Sciences Inc. Common Stock,$3.36,0.12,3.704%,74186374.00,United States,,505179,Technology,Diversified Commercial Services
WBEV,Winc Inc. Common Stock,$7.26,-0.155,-2.09%,95535574.00,,2021,16261,Consumer Non-Durables,Beverages (Production/Distribution)
WLMS,Williams Industrial Services Group Inc. Common Stock,$3.30,0.05,1.538%,85521157.00,,2021,58484,Capital Goods,Engineering & Construction
WRN,Western Copper and Gold Corporation Common Stock,$1.64,0.06,3.797%,248338845.00,Canada,2011,233325,,
WTT,Wireless Telecom Group  Inc. Common Stock,$2.01,-0.07,-3.365%,45066578.00,United States,,7915,Capital Goods,Telecommunications Equipment
WWR,Westwater Resources Inc. Common Stock,$2.31,-0.06,-2.532%,81481238.00,United States,,534396,Basic Industries,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$3.86,-0.04,-1.026%,34117174.00,United States,,35192,Technology,EDP Services
XPL,Solitario Zinc Corp. Common Stock,$0.50,0.0016,0.321%,31018200.00,United States,,45768,Basic Industries,Metal Mining
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.6487,0.0097,1.518%,56304679.00,United States,,109476,Health Care,Medical Specialities
YCBD,cbdMD Inc. Common Stock,$1.04,-0.04,-3.704%,60602589.00,United States,2017,106070,Health Care,Biotechnology: Pharmaceutical Preparations
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$6.09,-0.30,-4.695%,,United States,,6253,,
ZDGE,Zedge Inc. Class B Common Stock ,$8.66,-0.22,-2.477%,124583314.00,,2016,138693,Technology,Internet and Information Services
ZOM,Zomedica Corp. Common Shares,$0.3351,-0.0169,-4.801%,328362703.00,United States,2017,9395642,,
