Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$14.17,-0.40,-2.745%,1670341278.00,United States,1987,1631823,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$11.95,-0.03,-0.25%,152441442.00,Canada,,23697,Basic Industries,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$9.07,0.22,2.486%,73315341.00,United States,,17618,Consumer Durables,Electronic Components
COHN,Cohen & Company Inc.,$15.06,-0.04,-0.265%,25563492.00,United States,,3862,Finance,Investment Managers
CPHI,China Pharma Holdings Inc. Common Stock,$0.4112,-0.0218,-5.035%,19466026.00,China,,118491,Health Care,Biotechnology: Pharmaceutical Preparations
CQP,Cheniere Energy Partners LP Cheniere Energy Partners LP Common Units,$46.39,-1.50,-3.132%,22453948651.00,United States,2007,416935,Public Utilities,Oil/Gas Transmission
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$13.68,-0.26,-1.865%,851256235.00,United States,,750619,Finance,Finance/Investors Services
CTEK,CynergisTek Inc. Common Stock,$1.39,-0.04,-2.797%,18328607.00,United States,2017,53866,Technology,Retail: Computer Software & Peripheral Equipment
CTGO,Contango ORE Inc. Common Stock,$25.50,0.00,0.00%,170486523.00,,2021,525,Basic Industries,Precious Metals
CVM,Cel-Sci Corporation Common Stock,$6.10,-0.06,-0.974%,263791438.00,United States,,518070,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$25.75,0.05,0.195%,24877899.00,United States,,1020,Consumer Non-Durables,Industrial Specialties
CVU,CPI Aerostructures Inc. Common Stock,$2.59,0.00,0.00%,31976707.00,United States,,29878,Capital Goods,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$1.05,0.00,0.00%,169434257.00,,,636272,,
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.46,-0.02,-0.806%,254643788.00,United States,1998,318764,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$194.01,-5.10,-2.561%,113066894.00,United States,,3077,Consumer Non-Durables,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$32.21,-0.70,-2.127%,226624503.00,United States,,17259,Consumer Non-Durables,Department/Specialty Retail Stores
DMF,BNY Mellon Municipal Income Inc. Common Stock,$8.65,-0.07,-0.803%,179533613.00,United States,1988,76431,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$1.37,-0.06,-4.196%,1106086596.00,Canada,,8283521,,
DSS,DSS Inc. Common Stock,$0.6656,-0.0284,-4.092%,53078862.00,United States,,238890,Consumer Services,Recreational Products/Toys
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$1.015,-0.025,-2.404%,21192375.00,China,,132446,Consumer Non-Durables,Apparel
DXR,Daxor Corporation Common Stock,$11.37,-0.15,-1.302%,45865181.00,United States,,6165,Health Care,Medical/Dental Instruments
EAD,Allspring Income Opportunities Fund Common Shares,$8.74,-0.09,-1.019%,529523510.00,United States,2003,200601,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$11.46,-0.35,-2.964%,154703789.00,United States,1986,238485,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$25.595,-0.0049,-0.019%,,United States,,1233,,
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$13.15,-0.07,-0.53%,946184370.00,United States,2002,136706,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.10,0.00,0.00%,110389962.00,United States,,7212,Consumer Services,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$29.12,-0.58,-1.953%,374171470.00,Israel,,916,Public Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$12.75,-0.01,-0.078%,109262897.00,United States,2011,4333,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
